Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
Mermaid's Scar,人魚の傷,1,Manga,R - 17+ (violence & profanity),-,OVA,Madhouse,6.80,2572 ,Ranked #4554,Popularity #6090,6621,https://myanimelist.net/anime/2017/Mermaids_Scar,Horror
-,師匠シリーズ,Unknown,Novel,None,-,TV,Pierrot Plus,N/A,- user,Ranked N/A,Popularity #6106,6598,https://myanimelist.net/anime/30223/Shishou_Series,Horror
-,祈明羅,1,Manga,R+ - Mild Nudity,-,OVA,animate Film,5.12,2896 ,Ranked #10960,Popularity #6177,6382,https://myanimelist.net/anime/2592/Kimera,Horror
Aooni the Movie,青鬼 THE ANIMATION,1,Game,R - 17+ (violence & profanity),-,Movie,Studio Deen,4.16,2591 ,Ranked #11550,Popularity #6185,6363,https://myanimelist.net/anime/33820/Ao_Oni_The_Animation_Movie,Horror
-,淫堕の姫騎士ジャンヌ,2,Visual novel,Rx - Hentai,-,OVA,-,6.31,2066 ,Ranked N/A,Popularity #6200,6301,https://myanimelist.net/anime/4004/Inda_no_Himekishi_Janne,Horror
-,デジタル・デビル物語〈ストーリ〉 女神転生,1,Light novel,R - 17+ (violence & profanity),-,OVA,animate Film,5.20,3068 ,Ranked #10819,Popularity #6247,6180,https://myanimelist.net/anime/2983/Digital_Devil_Story__Megami_Tensei,Horror
-,人魚の森,1,Manga,R - 17+ (violence & profanity),-,OVA,Pastel,6.77,2616 ,Ranked #4670,Popularity #6251,6165,https://myanimelist.net/anime/2016/Mermaid_Forest_OVA,Horror
Battle Royal High School,真魔神伝　バトルロイヤルハイスクール,1,Manga,R+ - Mild Nudity,-,OVA,AIC,5.57,2449 ,Ranked #9891,Popularity #6257,6151,https://myanimelist.net/anime/3625/Battle_Royal_High_School,Horror
Lily C.A.T.,LILY-C.A.T.,1,Original,PG-13 - Teens 13 or older,-,OVA,Studio Pierrot,5.89,2722 ,Ranked #8874,Popularity #6282,6098,https://myanimelist.net/anime/3258/Lily_CAT,Horror
Seoul Station,서울역,1,Unknown,R - 17+ (violence & profanity),-,Movie,Studio Dadashow,5.77,2603 ,Ranked #9300,Popularity #6343,6002,https://myanimelist.net/anime/34048/Seoul-yeok,Horror
Puppet Princess,からくりの君,1,Manga,R+ - Mild Nudity,-,OVA,TMS Entertainment,6.49,2312 ,Ranked #6070,Popularity #6387,5859,https://myanimelist.net/anime/1658/Karakuri_no_Kimi,Horror
-,アジテイテッド・スクリームズ・オブ・マゴッツ,1,Original,R+ - Mild Nudity,-,Music,-,4.19,3666 ,Ranked #11545,Popularity #6406,5805,https://myanimelist.net/anime/9056/Agitated_Screams_of_Maggots,Horror
Tokyo Revelation,真・女神転生　東京黙示録,2,Manga,R - 17+ (violence & profanity),-,OVA,J.C.Staff,5.39,2207 ,Ranked #10408,Popularity #6440,5743,https://myanimelist.net/anime/1338/Shin_Megami_Tensei__Tokyo_Mokushiroku,Horror
